rank,category,Youtuber,video views,subscribers,,Category,Total_Views,Total_Subscribers
696,Entertainment,ERB,4033400167,14900000,,,,
979,Entertainment,Heidi and Zidane HZHtube,4021409291,12400000,,,,
682,Entertainment,XpressTV,4008801873,15000000,,,,
478,Howto & Style,Manual do Mundo,3980991248,18000000,,,,
419,Gaming,Clash of Clans,3961318438,19600000,,,,
566,Howto & Style,Sandra Cires Art,3955426159,16400000,,,,
845,Entertainment,Sanjoy Das Official,3912334359,13500000,,,,
776,Gaming,E-MasterSensei,3920559552,14200000,,,,
759,Comedy,Rclbeauty101,3900312631,14400000,,,,
403,Entertainment,Gordon Ramsay,3875172235,20000000,,,,
627,Entertainment,Juliana Baltar,3869457097,15600000,,,,
486,People & Blogs,KatieAngel,3841205465,17900000,,,,
358,Entertainment,Fatos Desconhecidos,3828000587,20900000,,,,
539,Entertainment,EeOneGuy,3827906874,16900000,,,,
511,Music,JFlaMusic,3802280098,17600000,,,,
879,Entertainment,Sonotek Bhakti,3789736218,13200000,,,,
643,Science & Technology,Mrwhosetheboss,3736069980,15400000,,,,
835,Music,Lindsey Stirling,3764608356,13600000,,,,
865,Entertainment,Kurt Hugo Schneider,3733856870,13300000,,,,
245,Entertainment,America's Got Talent,3699352704,24800000,,,,
548,Film & Animation,Gato Galactico | GALï¿½ï¿,3693798804,16800000,,,,
523,Howto & Style,HowToBasic,3684816159,17300000,,,,
443,Education,TED-Ed,3654621568,18800000,,,,
500,People & Blogs,tanboy kun,3647267655,17700000,,,,
916,Entertainment,Top Viral Talent,3643698504,12900000,,,,
250,Science & Technology,Mark Rober,3647987299,24600000,,,,
923,Entertainment,Talking Angela,3632438963,12800000,,,,
525,Science & Technology,Marques Brownlee,3606912471,17200000,,,,
784,Entertainment,#Refugio Mental,3594936775,14100000,,,,
940,Entertainment,#Refï¿½ï¿½ï¿½ï¿½,2709954270,12700000,,,,
728,Gaming,Jesser,3603556207,14600000,,,,
706,Music,MattyBRaps,3587576784,14800000,,,,
381,Music,Emiway Bantai,3579555124,20400000,,,,
740,Howto & Style,IDEIAS INCRï¿½ï¿½,3551889957,14500000,,,,
752,Comedy,Lilly Singh,3517662420,14500000,,,,
543,Nonprofits & Activism,Bispo Bruno Leonardo,3523578665,16900000,,,,
946,People & Blogs,ýýýýýýýýýSULGI,3485373675,12600000,,,,
457,Gaming,Marmok,3457618361,18500000,,,,
841,Howto & Style,Anaysa,3445794123,13500000,,,,
615,News & Politics,Narendra Modi,3392918989,15800000,,,,
296,Science & Technology,Technical Guruji,3378047383,23000000,,,,
856,Comedy,My Mate Nate,3363634923,13400000,,,,
727,People & Blogs,Auron,3337074920,14600000,,,,
782,Entertainment,DangMattSmith,3317805543,14200000,,,,
79,Comedy,CarryMinati,3294013141,39200000,,,,
944,Gaming,Morgz,3303595310,12600000,,,,
473,Entertainment,GEN HALILINTAR,3306242674,18100000,,,,
449,Comedy,Triggered Insaan,3276891538,18800000,,,,
791,Sports,F2Freestylers - Ultimate Soccer Skills Channel,3280481927,14100000,,,,
407,Science & Technology,HaerteTest,3234880084,19800000,,,,
471,People & Blogs,INCRï¿½ï¿,3213324455,18200000,,,,
813,Howto & Style,Alexa Rivera,3193226072,13900000,,,,
915,Entertainment,BIBOï¿½ï¿½ï¿½ï¿½ï,3178222797,12900000,,,,
945,People & Blogs,CaseyNeistat,3152402405,12600000,,,,
157,Comedy,Round2hell,3145161634,30700000,,,,
957,Travel & Events,Mï¿½ï¿½ï¿½ï¿½,3140883140,12500000,,,,
563,Comedy,FailArmy,3037260680,16500000,,,,
758,Comedy,Cyprien,3086254545,14400000,,,,
666,People & Blogs,PowerfulJRE,3060202847,15100000,,,,
604,Gaming,Antrax,3029872908,16000000,,,,
603,Education,wifistudy,3018032423,16000000,,,,
102,News & Politics,YouTube,3010784935,36300000,,,,
956,Howto & Style,First We Feast,2983799729,12500000,,,,
248,Howto & Style,Chloe Ting,2994726412,24700000,,,,
584,Comedy,T3ddy,2990185467,16200000,,,,
508,Howto & Style,ýýýýýýýýý Liziqi,2977741577,17600000,,,,
757,Entertainment,ýýýýýýýýýýýý ýýýýýýýýýýýý I ýýýýýý ýý ýýýýýýýýýý,2972474215,14400000,,,,
385,Entertainment,Ami Rodriguez,2951914200,20200000,,,,
826,Howto & Style,NishaMadhulika,2939201386,13700000,,,,
147,Gaming,Dream,2930015381,31700000,,,,
426,Science & Technology,Vsauce,2897907132,19300000,,,,
897,People & Blogs,RaptorGamer,2879263916,13100000,,,,
975,People & Blogs,Gibby :),2862685032,12400000,,,,
440,People & Blogs,HiMan,2855519150,18900000,,,,
922,Education,The Shiny Peanut,2848466522,12900000,,,,
978,Gaming,Timba Vk,2840137980,12400000,,,,
872,Howto & Style,Kabita's Kitchen,2831275503,13300000,,,,
386,Comedy,Noor Stars,2764127969,20200000,,,,
667,Howto & Style,Mariale,2761547758,15100000,,,,
734,Howto & Style,Mis Pastelitos,2750902766,14600000,,,,
848,Music,Conor Maynard,2750993392,13500000,,,,
889,nan,WiederDude,2733682792,13100000,,,,
255,Entertainment,MrBeast en Espaï¿½ï,2700914170,24200000,,,,
595,People & Blogs,Canal IN,2687443643,16100000,,,,
901,Entertainment,Davie504,2683297849,13000000,,,,
647,Sports,FC Barcelona,2656528205,15300000,,,,
726,Entertainment,Doc Tops,2613197447,14600000,,,,
609,Howto & Style,jeffreestar,2609358468,15900000,,,,
244,Howto & Style,Yuya,2588501115,24800000,,,,
893,People & Blogs,Painzeiro,2555801802,13100000,,,,
292,People & Blogs,TED,2551113422,23100000,,,,
273,Gaming,Ninja,2543809954,23700000,,,,
914,Sports,gymvirtual,2509752944,12900000,,,,
817,Gaming,ýýýýýýýý/Atro,2480957682,13800000,,,,
718,Entertainment,The Slow Mo Guys,2465473772,14700000,,,,
382,Entertainment,Got Talent Global,2441288701,20300000,,,,
562,Entertainment,ýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýý,2440934034,16500000,,,,
312,Film & Animation,Goldmines Cineplex,2431154438,22500000,,,,
364,Education,Kurzgesagt ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,2378448129,20800000,,,,
855,Howto & Style,ATHLEAN-Xï¿½,2319515787,13400000,,,,
985,Howto & Style,bharatzkitchen HINDI,2315226648,12400000,,,,
507,Comedy,MissaSinfonia,2274007523,17600000,,,,
861,Science & Technology,Trakin Tech,2262690743,13300000,,,,
421,News & Politics,DLS News,2255542592,19400000,,,,
805,Film & Animation,Darkar Company Studios,2244318380,13900000,,,,
512,Entertainment,FactTechz,2238134438,17500000,,,,
715,Entertainment,ýýýýýýýýýý ýýýýýýýýýýýý,2230986039,14700000,,,,
814,Entertainment,Airrack,2224911030,13800000,,,,
754,Gaming,Gyan Gamingï¿½,2224121890,14400000,,,,
794,Howto & Style,Narins Beauty,2214167846,14000000,,,,
532,Comedy,Liza Koshy,2173106162,17100000,,,,
812,Education,Veritasium,2165885634,13900000,,,,
663,Education,Daftar Populer,2143140898,15100000,,,,
278,Entertainment,Juan De Dios Pantoja,2135644776,23600000,,,,
852,People & Blogs,The World Adventures ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,2139769210,13400000,,,,
995,Comedy,Make Joke Of,2129773714,12300000,,,,
832,Gaming,Acenix,2122062016,13600000,,,,
912,People & Blogs,Pastor Antï¿½ï¿½ï¿½ï¿½ï,2112274210,12900000,,,,
783,Music,Neha Kakkar,2131548711,14100000,,,,
775,Gaming,TommyInnit,2084791147,14200000,,,,
877,Gaming,Brawl Stars,2036408398,13200000,,,,
972,nan,DEV Ke Facts,1971226335,12400000,,,,
822,Comedy,O Que Nï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1967930734,13700000,,,,
823,Entertainment,Goldmines Premiere,1973638757,13700000,,,,
834,Sports,DALLMYD,1948925559,13600000,,,,
824,Entertainment,MAIKI021,1950178163,13700000,,,,
849,Howto & Style,Wengie,1900272833,13500000,,,,
363,Comedy,Canal Canalha,1870608170,20800000,,,,
815,Science & Technology,Hacksmith Industries,1820559912,13800000,,,,
705,Education,CrashCourse,1833519700,14800000,,,,
410,Comedy,JennaMarbles,1803249241,19700000,,,,
376,Film & Animation,Totoy kids - Portuguï¿½,1796227417,20400000,,,,
639,Comedy,Harsh Beniwal,1781226000,15400000,,,,
774,Howto & Style,NikkieTutorials,1778318927,14200000,,,,
661,People & Blogs,It's Mamix,1777072487,15100000,,,,
943,People & Blogs,Go Ami Go!,1714955279,12700000,,,,
665,People & Blogs,Ranz Kyle,1760131384,15100000,,,,
886,People & Blogs,CookingShooking Hindi,1758603195,13200000,,,,
739,nan,Lotus Music,1739129375,14500000,,,,
904,Music,Lofi Girl,1698279553,13000000,,,,
357,Education,Dr. Vivek Bindra: Motivational Speaker,1693149479,20900000,,,,
973,People & Blogs,Hero Movies 2023,1689090619,12400000,,,,
992,People & Blogs,Free Fire India Official,1674409945,12300000,,,,
580,Gaming,Technoblade,1656452554,16300000,,,,
649,Gaming,LOKESH GAMER,1640078055,15300000,,,,
755,Entertainment,Drawblogs,1629801448,14400000,,,,
949,Entertainment,colinfurze,1612094871,12500000,,,,
466,People & Blogs,Naisa Alifia Yuriza (N.A.Y),1606834186,18300000,,,,
662,Music,Kim Loaiza,1576633086,15100000,,,,
422,People & Blogs,JukiLop,1577859332,19400000,,,,
468,Gaming,IShowSpeed,1556003039,18300000,,,,
641,Gaming,Mobile Legends: Bang Bang,1543608082,15400000,,,,
592,Entertainment,Dyland PROS,1517638132,16100000,,,,
816,People & Blogs,JD Pantoja,1493776391,13800000,,,,
654,Entertainment,Niana Guerrero,1491452935,15200000,,,,
624,Entertainment,Caeli YT,1511794214,15600000,,,,
888,People & Blogs,Alex Gonzaga Official,1401914513,13100000,,,,
954,Gaming,Yair17,1402042328,12500000,,,,
132,Entertainment,Eros Now Music,17853798780,32700000,,,,
614,Education,Dear Sir,1349288771,15800000,,,,
716,Entertainment,Maha Fun Tv,1321380490,14700000,,,,
554,nan,Ivana Alawi,1318442641,16600000,,,,
839,Gaming,BUDI01 GAMING,1181292450,13500000,,,,
931,nan,FACT FIRE KING,1159290255,12700000,,,,
876,Entertainment,BIBO ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,1148422000,13200000,,,,
885,Science & Technology,Technology Gyan,1138262456,13200000,,,,
950,Entertainment,People Vs Food,1136534702,12500000,,,,
977,Entertainment,SAAIHALILINTAR,1113066203,12400000,,,,
941,Gaming,Piuzinho,1081285962,12700000,,,,
520,Science & Technology,Apple,1026425106,17300000,,,,
902,Comedy,Everson Zoio,1024467771,13000000,,,,
534,Comedy,Prajapati News,1001465469,17000000,,,,
953,Howto & Style,Health Time,1002219689,12500000,,,,
521,Film & Animation,Stubborn Facts,902225615,17300000,,,,
833,nan,Zeinab Harake,896891351,13600000,,,,
652,People & Blogs,Pokï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,857725714,15200000,,,,
863,Entertainment,Matt Steffanina,3299216601,13300000,,,,
753,Entertainment,ýýýýýýýýýýýýýýýýýýýýý,600154268,14400000,,,,
402,Music,Vevo,559765455,20000000,,,,
760,Music,Coke Studio,4035738731,14400000,,,,
994,Gaming,RobTopGames,374123483,12300000,,,,
257,nan,Super JoJo - Nursery Rhymes & Kids Songs,329774870,24100000,,,,
456,Music,Dan-Sa / Daniel Saboya,2908120896,18500000,,,,
425,nan,Manoj  parihar,264228052,19300000,,,,
951,nan,Wolfoo Family,161254021,12500000,,,,
913,Entertainment,Matheus Yurley,140022442,12900000,,,,
993,nan,Panda,2214684303,12300000,,,,
86,People & Blogs,shfa,21528116909,38400000,,,,
589,People & Blogs,XO TEAM,14784781923,16200000,,,,
974,Gaming,LOUD,2394143260,12400000,,,,
937,Music,Future,9927699419,12700000,,,,
573,Entertainment,Matt Stonie,3527627264,16300000,,,,
717,Entertainment,Canal Nostalgia,1506796393,14700000,,,,
853,nan,Vibhu 96,20563378,13400000,,,,
270,Entertainment,Venus Entertainment,5663125358,23800000,,,,
88,Music,One Direction,13598903820,38200000,,,,
552,Music,Travis Scott,7979736581,16700000,,,,
620,nan,MY FAMILY,6153495609,15700000,,,,
903,Entertainment,Calon Sarjana,10664585,13000000,,,,
330,Music,Rotana,19329351143,21800000,,,,
685,News & Politics,Republic Bharat,7536093065,15000000,,,,
325,Entertainment,Disney Latinoamï¿½ï¿½,20657571751,21900000,,,,
409,News & Politics,SOMOY TV,12293479945,19800000,,,,
338,News & Politics,Tlnovelas,15013096899,21500000,,,,
194,People & Blogs,MrBeast 2,4552581106,27500000,,,,
362,Music,Romeo Santos,17324976752,20900000,,,,
414,Entertainment,SCTV,9808676159,19700000,,,,
556,Howto & Style,IDEAS EN 5 MINUTOS,3696973456,16600000,,,,
450,Entertainment,CKN,12295637162,18700000,,,,
152,People & Blogs,YOLO AVENTURAS,9673649438,31200000,,,,
703,Entertainment,Bayashi TV,8615618825,14900000,,,,
370,Entertainment,Deddy Corbuzier,4956090094,20600000,,,,
701,People & Blogs,ýýýýýý,439098,14900000,,,,
74,Comedy,Luisito Comunica,8670473639,40600000,,,,
237,Music,Chris Brown,15520569496,25200000,,,,
469,Entertainment,Good Mythical Morning,8798044678,18300000,,,,
509,Gaming,The Game Theorists,3752347262,17600000,,,,
905,Entertainment,Jomy Production,5057163256,13000000,,,,
773,Entertainment,SIS vs BRO,6973932553,14200000,,,,
842,Entertainment,JULIA GISELLA,5380132790,13500000,,,,
39,Music,LooLoo Kids - Nursery Rhymes and Children's Songs,32312431239,54000000,,,,
316,People & Blogs,Smile Family,8663830163,22300000,,,,
860,People & Blogs,The Q,4306212515,13400000,,,,
415,Gaming,AS Gaming,2851024430,19600000,,,,
664,Howto & Style,Musas,2400037562,15100000,,,,
19,nan,Sports,0,75000000,,,,
591,People & Blogs,ExtraPolinesios,4813127504,16200000,,,,
970,Science & Technology,Quantum Tech HD,4340213066,12500000,,,,
900,Music,DJ Khaled,6637820731,13100000,,,,
712,People & Blogs,Beast Philanthropy,272678287,14800000,,,,
495,Film & Animation,MSA previously My Story Animated,8588704539,17800000,,,,
76,Entertainment,Toys and Colors,47005053156,40300000,,,,
179,Comedy,Shorts Break,19466238065,29000000,,,,
367,Entertainment,Zach King,5410164682,20700000,,,,
785,Entertainment,ýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýý,3920221322,14100000,,,,
598,Music,FitDance,7126210721,16100000,,,,
189,Music,Drake,15318895118,28100000,,,,
480,Entertainment,And TV,15412333005,18000000,,,,
174,nan,Popular on YouTube,0,29300000,,,,
236,People & Blogs,ABPLIVE,7968363381,25200000,,,,
527,Education,Jason Vlogs,8903647480,17200000,,,,
786,Music,Trap City,5129529846,14100000,,,,
908,nan,Wolfoo Channel,301547793,13000000,,,,
763,People & Blogs,Harry Styles,5689224452,14400000,,,,
340,Gaming,invictor,8409641722,21500000,,,,
546,People & Blogs,deepesh zo,7206462713,16800000,,,,
801,Entertainment,Zee Telugu,12597067132,14000000,,,,
229,Film & Animation,ZHC,2726917087,25500000,,,,
52,Music,Bad Bunny,30686342319,46100000,,,,
49,Entertainment,Badabun,19398045702,46800000,,,,
63,Entertainment,HolaSoyGerman.,4831311245,43600000,,,,
590,Entertainment,AdMe,4488680903,16200000,,,,
952,People & Blogs,Ja Mill,1302818088,12500000,,,,
987,People & Blogs,ANNA KOVA,13959586308,12400000,,,,
779,Pets & Animals,The Dodo,9964116817,14200000,,,,
976,Comedy,Gustavo Parï¿½ï¿½,2602614088,12400000,,,,
887,Entertainment,Ryan Trahan,2182651464,13100000,,,,
175,Music,Maluma,21226945136,29300000,,,,
404,Music,Pentatonix,6033295543,20000000,,,,
234,People & Blogs,Las Ratitas,9602246828,25200000,,,,
932,Entertainment,Ian Lucas,1450874545,12700000,,,,
201,Entertainment,ToyPuddingTV,15916882228,27100000,,,,
331,People & Blogs,Netflix India,7780934187,21800000,,,,
412,Film & Animation,Official Pink Panther,10955619815,19700000,,,,
51,Gaming,A4,22936630813,46300000,,,,
136,Film & Animation,WowKidz,16613441479,32200000,,,,
287,Science & Technology,Happy Lives,2634,23200000,,,,
451,Gaming,Ali-A,6148303268,18700000,,,,
28,Music,T-Series Bhakti Sagar,29533230328,61000000,,,,
253,Entertainment,Amit Bhadana,2380248899,24300000,,,,
892,People & Blogs,Knowledge Tv ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,1936582704,13100000,,,,
445,People & Blogs,Cardi B,7634430188,18800000,,,,
770,Comedy,Rebecca Zamolo,6388439235,14300000,,,,
399,Entertainment,Marvel Entertainment,5634695322,20100000,,,,
2,Film & Animation,YouTube Movies,0,170000000,,,,
62,Music,Alan Walker,12884264778,43700000,,,,
110,Gaming,Total Gaming,5556364230,35400000,,,,
544,Entertainment,DeToxoMoroxo,2315962318,16800000,,,,
15,Film & Animation,Goldmines,24118230580,86900000,,,,
688,Gaming,BigSchool,9996133066,15000000,,,,
809,News & Politics,Jamuna TV,12129583055,13900000,,,,
936,Music,Jass Records,5958994201,12700000,,,,
221,Music,Marï¿½ï¿½ï¿½ï¿½ï¿½,18597534412,26000000,,,,
756,Gaming,NOBRU,351763324,14400000,,,,
105,Gaming,MrBeast Gaming,6331332547,36100000,,,,
115,Gaming,Techno Gamerz,9690499664,34400000,,,,
165,Comedy,Talking Tom,15199330166,30200000,,,,
968,People & Blogs,Troom Troom Indonesia,5379684248,12500000,,,,
339,People & Blogs,SMOL,22065582014,21500000,,,,
549,Entertainment,Salman Noman,10393037902,16700000,,,,
123,Music,Desi Music Factory,10189027455,33700000,,,,
535,Entertainment,Gaby and Alex,8229883114,17000000,,,,
493,People & Blogs,Zuni and Family,6746269458,17900000,,,,
571,Entertainment,Alfredo Larin,14431830557,16400000,,,,
831,Gaming,Desi Gamers,2135195239,13700000,,,,
864,People & Blogs,Stray Kids,3364230487,13300000,,,,
446,nan,Busy Fun Ltd,7762077012,18800000,,,,
265,Film & Animation,Goldmines Movies,5652938599,24000000,,,,
78,People & Blogs,LUCCAS NETO - LUCCAS TOON,22302547082,39400000,,,,
17,Howto & Style,5-Minute Crafts,26236790209,80100000,,,,
184,Film & Animation,Masha y el Oso,13577142726,28300000,,,,
669,People & Blogs,Hongyu ASMR ï¿½ï¿½,4967784343,15100000,,,,
349,Education,Khan GS Research Centre,2073073070,21200000,,,,
570,Entertainment,RCTI - LAYAR DRAMA INDONESIA,13478392540,16400000,,,,
6,nan,Music,0,119000000,,,,
13,nan,Gaming,0,93600000,,,,
58,Howto & Style,BRIGHT SIDE,10708531817,44500000,,,,
103,nan,News,0,36300000,,,,
114,Music,T-Series Apna Punjab,21306315429,34600000,,,,
150,Entertainment,Luis Fonsi,15176762479,31400000,,,,
167,Gaming,Frost Diamond,7277493940,30100000,,,,
181,Music,Aditya Music India,25857994495,28500000,,,,
191,People & Blogs,Sandeep Maheshwari,2303069221,27800000,,,,
218,Entertainment,1MILLION Dance Studio,7886440199,26100000,,,,
227,Howto & Style,Fede Vigevani,7962725960,25600000,,,,
274,Gaming,FaZe Rug,7451792132,23700000,,,,
300,Film & Animation,Alan Becker,5380073627,22900000,,,,
341,Comedy,YOLO,1573058816,21400000,,,,
361,nan,Minecraft - Topic,0,20900000,,,,
378,Music,Linkin Park,13397000296,20400000,,,,
387,Entertainment,Family GamesTV,7066711323,20200000,,,,
395,Entertainment,Robin Hood Gamer,10366850490,20100000,,,,
441,Shows,Masha e o Urso,8301731337,18900000,,,,
464,People & Blogs,Dhar Mann,11280732382,18400000,,,,
477,Entertainment,Ajay Sharma,12249828886,18100000,,,,
545,Entertainment,Doggy Doggy Cartoons,6518418501,16800000,,,,
555,Entertainment,Werever2morro,2798273962,16600000,,,,
593,nan,Live,0,16100000,,,,
601,Entertainment,La Rosa de Guadalupe,9642146451,16100000,,,,
605,Gaming,Enes Batur,9786595271,16000000,,,,
607,People & Blogs,ýýýýýýýýýý,1845329502,15900000,,,,
630,Entertainment,Super Senya,5070970714,15500000,,,,
635,Science & Technology,Mr DegrEE,12880388253,15500000,,,,
681,Education,TheRichest,2730879024,15000000,,,,
711,Music,Major Lazer Official,9383431376,14800000,,,,
778,Music,Crazy Frog,7946322061,14200000,,,,
854,Entertainment,Blockbuster Movies,2650061211,13400000,,,,
878,Entertainment,Ei Nerd,3568392223,13200000,,,,
984,Comedy,MoniLina,16086808918,12400000,,,,
986,Education,TKOR,3392022527,12400000,,,,
736,Music,LEGENDA FUNK,2440718089,14500000,,,,
